federation_code,first_name,last_name,no,nationality,gender
USA,Kelly D.,Vecitis,100448,,0
USA,Daniel,Vorkink,100449,,0
USA,Bryan,Ivie,100450,,0
USA,Joel,Janc,100451,,0
USA,Chad,Jones,100452,,0
USA,Joel,Jones,100453,,0
USA,Kirk,Kandler,100454,,0
USA,Russell,Keller,100455,,0
USA,Christian,Kiernan,100457,,0
USA,Karch,Kiraly,100458,,0
USA,Gary,Knowles,100459,,0
USA,Mark,Knudsen,100460,,0
USA,Andreas E.,Koch,100461,,0
USA,Ben,Lefrancois,100462,,0
JAM,"Wayne ""John""",Reid,100463,,0
JAM,"Jeffery ""Cakeworld""",Lewis,100464,,0
SUI,"Jurad ""Troy""",McKenzie,100465,,0
JAM,"Olivier ""Crumbs""",Reid,100466,,0
JAM,Luill,Cole,100467,,0
JAM,"Uel ""Mumbly""",Gordon,100468,,0
JAM,Christopher,Tate,100469,,0
JAM,"Earl ""Jessie""",Reid,100470,,0
NZL,Angela,Stojanovic,100471,,1
CAN,Monica or Moni,Lueg,100472,,1
JPN,"Yukiko ""Yuki""",Ishizaka,100473,,1
USA,Matthew K.,Rigg,100474,,0
LAT,Ugis,Krastins,100475,,0
LAT,Aivis,Eida,100476,,0
CUB,Jerusa,Ferrer,100477,,1
JPN,Sachiko,Fujita,100479,,1
CHI,Lia,Karmelic,100480,,1
CHI,Sandra,Solis Hunt,100481,,1
CHI,Carolina,Coddou Silva,100482,,1
CHI,Sandra,Vallejo,100483,,1
CHI,Vorena,Contreras,100484,,1
CHI,"Patricia Sofia ""Echavarria""",Lopez,100485,,1
CHI,Cecilia,Filliol,100486,,1
CAN,...,Swidinski,100487,,1
EST,Avo,Keel,100489,,0
EST,Kaido,Kreen,100490,,0
SAM,"Allen ""A-Bomb""",Allen,100491,,0
GER,"Jörg ""Vince""",Ahmann,100494,,0
GER,"Axel ""Hägar""",Hager,100495,,0
DEN,Lars  Christian,Lunde,100497,,0
HUN,Laszlo,Racz,100499,,0
HUN,Istvan,Somodi,100500,,0
SWE,Ulf,Johansson,100501,,0
GER,David,Schuler,100503,,0
CAN,Diane,Ratnik,100504,,1
MEX,"Maria Rocio""Chio""",Montes Marquez,100505,,1
JPN,Yukiko,Takahashi,100506,,1
JPN,Kaori,Shiota,100507,,1
JPN,Noriko,Mitamura,100508,,1
GER,Beate,Paetow,100509,,1
GER,Martine,Schwarz,100510,,1
INA,Yayah,Rodiah,100511,,1
INA,T.,Wahyuni,100512,,1
MEX,Victor Manuel,Espiricueta Amarillas,100513,,0
MEX,"Josè Manuel ""Pepe""",Vallejo Rodarte,100514,,0
LAT,Ainar,Vanags,100515,,0
GER,"Norbert ""Schupi""",Schupritt,100517,,0
GER,Danja,Müsch,100518,,1
GER,Beate,Bühler,100519,,1
GER,"Andreas ""Andy""",Scheuerpflug,100520,,0
BUL,"Vladislav ""Sara""",Todorov,100521,,0
BUL,Ivaylo,Gavrilov,100523,,0
BUL,Martin,Stoev,100524,,0
BUL,"Petar ""The Shark""",Atanasov,100525,,0
BUL,Radostin,Stoychev,100526,,0
POR,Luis Miguel,Barbosa Maia,100527,,0
POR,João Carlos,Brenha Alves Pereira,100528,,0
SUI,Martin,Laciga,100529,,0
SUI,Paul,Laciga,100530,,0
BRA,"Federico ""Fred""",Doria de Souza,100531,,0
NED,Michel or Mies,Everaert,100532,,0
NED,Sander,Mulder,100533,,0
NED,"Ferry ""Asswall""",Van Hal,100534,,0
NED,Debora,Schoon Kadijk,100535,,1
NED,Lisette,Van de Ven,100536,,1
NOR,Merita,Berntsen,100537,,1
MEX,Paula,Soto Eguiluz,100538,,1
RSA,Beverley or Bev,Gouws,100539,,1
RSA,Martin,Ellary,100541,,0
RSA,Sean,Heyes,100542,,0
USA,Andrew,Aguior,100543,,0
USA,Scott,Bailey,100544,,0
USA,Anthony Robert,Curci,100545,,0
NED,Mascha,Van Wijnen,100547,,1
RSA,"David ""The Hodge""",Hodge,100548,,0
USA,Gary,Gysin,100549,,0
JPN,Takuya,Noguchi,100550,,0
JPN,"Masafumi ""Sohn""",Matsunaga,100551,,0
USA,"Alison ""Ali""",Wood,100554,,1
USA,Janice,Harrer,100555,,1
USA,Colleen,Harp,100557,,1
NOR,"Baard ""Magne""",Grottum,100558,,0
NOR,Ragni,Hestad,100559,,1
USA,"James ""Jay""",Mears,100560,,0
NOR,Terje,Kolsvik,100561,,0
PER,Noce Leopoldo,Cordaro,100562,,0
PER,"Zayers ""Cesar""",Arguedas,100563,,0
BRA,"Rogério ""Pará""",de Souza Ferreira,100564,,0
BRA,Ernesto Jackson,Vogado de Souza,100565,,0
BRA,Ninahua,Bezerra de Oliveira,100566,,0
BOL,Carlos Antonio,Pavisic Antezana,100567,,0
BOL,Bernado,Pavisic Antezana,100568,,0
BOL,Jaime,Doria Medina,100569,,0
BOL,Sergio,Pavisic Antezana,100570,,0
RSA,Jason,Smith,100572,,0
RSA,"Sebastian ""Bassie""",Prinz,100573,,0
RSA,"Duncan ""Lofty""",Leroux,100574,,0
AUT,Harald,Dobeiner,100575,,0
FRA,Christophe,Burlas,100576,,0
URU,Luis Alberto,Baladon Rodriguez,100577,,0
URU,Sergio Juan,Sarkissian,100578,,0
ARG,"Sergio Eduardo ""Tito""",Vodiany,100579,,0
ARG,Pedro Ramon,Depiaggio,100580,,0
AUS,Todd,O'Donnell,100581,,0
AUT,Florian or Flo,Sadlacek,100582,,0
CZE,"Marek   ""Marco""  ""Pako""",Pakosta,100583,,0
CZE,"Michal ""Palda""",Palinek,100584,,0
ITA,"Claudio ""Gallo""",Galli,100585,,0
ITA,Caterina,De Marinis,100586,,1
ITA,Laura,Bruschini,100587,,1
ITA,Cristiana,Parenzan,100588,,1
ITA,Manuela,Benelli,100589,,1
ITA,Daniela,Gattelli,100590,,1
ITA,"Antonio ""Bab""",Babini,100591,,0
USA,Kristine or Krissy,Middler,100593,,1
VEN,Carlos,Cartaya,100594,,0
USA,Dennie,Shupryt Knoop,100595,,1
SWE,"Charlotte ""Lotten""",Wiig,100596,,1
SWE,Marie,Edin,100597,,1
RSA,Alena,Schurkova,100598,,1
RSA,"Anne Cecelia ""Tiger""",Siroky,100599,,1
PER,"Malaga ""Natalia""",Dibos,100600,,1
CZE,Martina,Hudcova,100601,,1
CZE,Dolores,Storkova,100602,,1
RSA,Kathleen or Kathy,Viantis,100603,,1
PER,"Ester ""Denisse""",Fajardo,100604,,1
MEX,Martha,Lopez,100605,,1
MEX,Laura,Arevalo Dorantes,100606,,1
BRA,Marise,Brandao Xavier,100607,,1
BRA,Renata,de Castro Palmier Costa,100608,,1
BOL,"Cynthia ""Fabiola""",Martinez,100609,,1
BOL,"Jacqueline ""Silvia""",Jimenez,100610,,1
AUS,Liane,Fenwick,100611,,1
BRA,"Rosemary ""Rose""",Moreira Poucas,100612,,1
CAN,Tracy,Mills,100613,,1
USA,"Michael ""The Rock""",Mattarocci,100614,,0
USA,Lisa,Arce,100615,,1
USA,Johanna or Jo,Wright,100616,,1
USA,Wendy,Fletcher,100617,,1
USA,Krista,Blomquist,100618,,1
ITA,Annamaria,Solazzi,100619,,1
ITA,Consuelo,Turetta,100620,,1
USA,Marla,O Hara,100621,,1
CHI,Monica,Micolich Figueroa,100622,,1
CHI,Ericka,Munoz Vasquez,100623,,1
CHI,Pamela,Durruty,100625,,1
CHI,Mireya Solange,Duarte,100626,,1
CHI,Licelotte,Uteau,100627,,1
CUB,Noemi,Blanco Duran,100628,,1
CUB,Rubinelda,Henry Serrano,100629,,1
CUB,Regla Aracely,Serrano Junco,100630,,1
GER,Judith,Kern,100631,,1
GER,"Brigitte ""Gittì""",Lohse,100632,,1
INA,"Engel Berta ""Eta""",Kaize,100633,,1
INA,Ni Putu Timy,Yudhani Rahayu,100634,,1
MEX,Mayra,Huerta,100635,,1
USA,"Christine ""Schaef""",Schaefer,100636,,1
CAN,Paul,Cox,100637,,0
CAN,"Marc ""Sparky""",Dunn,100638,,0
CAN,James,Olejnik,100639,,0
INA,"Markoji ""Koji""",Markoji,100640,,0
