code,name,start_date,end_date,no,version
BVB-TUA2020,Tuan Chau Island (Postponed_Date TBD),2020-05-06,2020-05-09,867,11486.0
BVB-JIN2020,Jinjiang (Canceled) ,2020-05-13,2020-05-17,868,11487.0
BVB-OST2020,Ostrava (Cancelled),2020-05-20,2020-05-24,869,11638.0
BVB-WAR2020,Warsaw (Canceled),2020-05-27,2020-05-31,870,11502.0
BVB-MOS2020,Moscow (Cancelled),2020-06-03,2020-06-07,871,11506.0
BVB-ROM2020,Rome (Cancelled),2020-06-09,2020-06-14,872,11510.0
BVB-MIG2020,Miguel Pereira (Cancelled),2020-06-11,2020-06-14,873,11639.0
BVB-LAO2020,Ventiane (Cancelled),2020-06-18,2020-06-21,874,11641.0
BVB-GST2020,Gstaad (Cancelled),2020-07-07,2020-07-12,875,11514.0
BVB-QID2020,Qidong (Cancelled),2020-07-09,2020-07-12,876,11515.0
BVB-DAE2020,Daegu (Cancelled),2020-07-09,2020-07-12,877,11642.0
BVB-ESP2020,Espinho (Cancelled),2020-07-15,2020-07-19,878,11517.0
BVB-BUY2020,Buyeo (Cancelled),2020-07-30,2020-08-02,879,11518.0
BVB-BUS2020,Busan (Cancelled),2020-08-06,2020-08-09,880,11519.0
BVB-VIE2020,Vienna (Cancelled),2020-08-11,2020-08-16,881,11520.0
BVB-HAM2020,Hamburg (Cancelled),2020-08-19,2020-08-23,882,11521.0
BVB-SAL2020,Salalah (Cancelled),2020-08-19,2020-08-22,883,11522.0
BVB-RUB2020,Rubavu,2020-08-19,2020-08-22,884,11634.0
BVB-OG2020,Olympic Games 2020,2021-07-23,2021-08-08,945,12353.0
BVB-RAJ2020,Raja Ampat (Cancelled),2020-06-11,2020-06-14,950,11640.0
BVB-IOS2020,Ios Island (Cancelled),2020-06-12,2020-06-14,951,11512.0
BVB-KLA2020,Klaipėda (Cancelled),2020-07-02,2020-07-05,952,11647.0
BVB-LAR2020,Larnaka (Cancelled),2020-09-25,2020-09-27,953,11643.0
BVB-MON2020,Montpellier,2020-08-25,2020-08-29,954,11623.0
BVB-BET2020,Bettystown (Cancelled),2020-07-17,2020-07-19,955,11646.0
BVB-SON2020,Sonderborg (Cancelled),2020-08-20,2020-08-22,956,11644.0
BVB-VAD2020,Vaduz (Cancelled),2020-08-05,2020-08-09,957,11645.0
BVB-LJU2020,Ljubljana,2020-07-30,2020-08-02,958,11900.0
BVB-MKOTC2020,King of the Court - Utrecht 2020,2020-09-09,2020-09-12,960,11591.0
BVB-BAD2020,Baden 2020,2020-08-20,2020-08-23,962,11988.0
BVB-VIL2020,Vilnius 2020,2020-09-10,2020-09-13,963,11626.0
CEV-BVB-U202020,CEV U20 ECH - Brno,2020-09-10,2020-09-13,1008,11627.0
